a,b,c,d,,,,,,P11881
4jn2,2013,,ANTI DABIGATRAN FAB,,,,,,
4uin,2015,,FAB 314.3,,,,,,
6b5q,2018,,DCN1-LIKE PROTEIN 1,,,,,,
1h4w,2002,,TRYPSIN IVA,,,,,,
5tp0,2017,,TRYPSIN-3,,,,,,
2r23,2008,,ANTIBODY FAB FRAGMENT,,,,,,
3wgg,2014,,REDOX-SENSING TRANSCRIPTIONAL REPRESSOR REX,,,,,,
1j16,2002,,TRYPSIN BETA,,,,,,
1j14,2002,,TRYPSIN BETA,,,,,,
1j17,2002,,TRYPSIN BETA,,,,,,
1ql9,2000,,TRYPSIN BETA,,,,,,
1m2x,2003,,CLASS B CARBAPENEMASE BLAB-1,,,,,,
1oss,2003,,TRYPSIN,,,,,,
1q72,2003,,"ANTIBODY FAB M82G2, LIGHT CHAIN",,,,,,
1qyg,2003,,"ANTIBODY FAB M82G2, LIGHT CHAIN",,,,,,
2hxm,2006,,URACIL-DNA GLYCOSYLASE,,,,,,
3ozt,2011,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3u81,2012,,CATECHOL O-METHYLTRANSFERASE,,,,,,
4p58,2014,,CATECHOL O-METHYLTRANSFERASE,,,,,,
5k03,2016,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3ozr,2011,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3ozs,2011,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3oe5,2011,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3oe4,2011,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3hvi,2009,,CATECHOL O-METHYLTRANSFERASE,,,,,,
3hvj,2009,,CATECHOL O-METHYLTRANSFERASE,,,,,,
1bzy,1999,,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,,,,,,
4rpn,2014,,PCP DEGRADATION TRANSCRIPTIONAL ACTIVATION PROTEIN,,,,,,
4rpo,2014,,PCP DEGRADATION TRANSCRIPTIONAL ACTIVATION PROTEIN,,,,,,
4zb6,2015,,PCURE2P4,,,,,,
4zba,2015,,PCURE2P8,,,,,,
4hj2,2013,,GLUTATHIONE S-TRANSFERASE A1,,,,,,
1ydk,2005,,GLUTATHIONE S-TRANSFERASE A1,,,,,,
1yej,1999,,ANTIBODY D2.3 (LIGHT CHAIN),,,,,,
1yei,1999,,ANTIBODY D2.3 (LIGHT CHAIN),,,,,,
3i9g,2009,,"SONEPCIZUMAB ANTIBODY FAB FRAGMENT, HEAVY CHAIN",,,,,,
4yhm,2016,,ADABI-FAB2B HEAVY CHAIN,,,,,,
4yho,2016,,ADABI-FAB3 HEAVY CHAIN,,,,,,
4zb8,2015,,PCURE2P6,,,,,,
5nbw,2017,,"FAB 22F12 (L,H)",,,,,,
5tkk,2018,,HIV-1 FUSION PEPTIDE RESIDUE 512-519,,,,,,
1d6v,2000,,CHIMERIC GERMLINE PRECURSOR OF OXY-COPE,,,,,,
1p19,2004,,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE,,,,,,
1z4o,2005,,BETA-PHOSPHOGLUCOMUTASE,,,,,,
2wf5,2009,,BETA-PHOSPHOGLUCOMUTASE,,,,,,
2vyt,2008,,SEX COMB ON MIDLEG-LIKE PROTEIN 2,,,,,,
3kku,2010,,CRUZIPAIN,,,,,,
3q71,2011,,POLY [ADP-RIBOSE] POLYMERASE 14,,,,,,
5tkj,2018,,VFP1.01 ANTIBODY FAB HEAVY CHAIN,,,,,,
6cdp,2018,,VFP20.01 ANTIBODY FAB HEAVY CHAIN,,,,,,
1i7z,2001,,CHIMERA OF IG KAPPA CHAIN: HUMAN CONSTANT REGION,,,,,,
1m7i,2003,,ANTIBODY FAB FRAGMENT,,,,,,
1pz5,2003,,ANTIBODY FAB FRAGMENT,,,,,,
1m7d,2003,,ANTIBODY FAB FRAGMENT,,,,,,
1wur,2005,,GTP CYCLOHYDROLASE I,,,,,,
1wuq,2005,,GTP CYCLOHYDROLASE I,,,,,,
4nvp,2014,,POTASSIUM/SODIUM HYPERPOLARIZATION-ACTIVATED CYCLIC,,,,,,
1a4k,1998,,ANTIBODY FAB FRAGMENT,,,,,,
1mfa,1994,,ANTIBODY FV,,,,,,
1mfd,1994,,ANTIBODY FAB FRAGMENT,,,,,,
2cgr,1994,,ANTIBODY FAB FRAGMENT,,,,,,
2vo4,2008,,GLUTATHIONE S-TRANSFERASE,,,,,,
5aol,2015,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5aba,2015,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5aoi,2015,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5a7b,2015,,CELLULAR TUMOR ANTIGEN P53,,,,,,
4agl,2012,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5g4m,2016,,CELLULAR TUMOR ANTIGEN P53,,,,,,
2vuk,2008,,CELLULAR TUMOR ANTIGEN P53,,,,,,
4agn,2012,,CELLULAR TUMOR ANTIGEN P53,,,,,,
4agm,2012,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5g4n,2016,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5g4o,2016,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5o1f,2018,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5o1d,2018,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5aoj,2015,,CELLULAR TUMOR ANTIGEN P53,,,,,,
4agp,2012,,CELLULAR TUMOR ANTIGEN P53,,,,,,
4ago,2012,,CELLULAR TUMOR ANTIGEN P53,,,,,,
5o1h,2018,,CELLULAR TUMOR ANTIGEN P53,,,,,,
4agq,2012,,CELLULAR TUMOR ANTIGEN P53,,,,,,
1uz8,2004,,"ANTIBODY FAB (IGG3,KAPPA) LIGHT CHAIN 291-2G3-A",,,,,,
3su5,2012,,NS3/4A PROTEASE,,,,,,
3su6,2012,,NS3/4A PROTEASE,,,,,,
3sug,2012,,NS3/4A PROTEASE,,,,,,
3su4,2012,,NS3/4A PROTEASE,,,,,,
3su1,2012,,NS3/4A PROTEASE,,,,,,
3su0,2012,,NS3/4A PROTEASE,,,,,,
3su2,2012,,NS3/4A PROTEASE,,,,,,
3suf,2012,,NS3/4A PROTEASE,,,,,,
5voj,2017,,NS3/4A PROTEASE,,,,,,
5epn,2016,,NS3 PROTEASE,,,,,,
5vp9,2017,,NS3/4A PROTEASE,,,,,,
3sue,2012,,NS3/4A PROTEASE,,,,,,
3su3,2012,,NS3/4A PROTEASE,,,,,,
1jgl,2001,,ANTIBODY KAPPA-CHAIN,,,,,,
2c1p,2006,,IGK-C PROTEIN,,,,,,
5dyo,2016,,FAB 43.1 HEAVY CHAIN,,,,,,
1aj7,1997,,IMMUNOGLOBULIN 48G7 GERMLINE FAB,,,,,,
1gaf,1996,,CHIMERIC 48G7 FAB,,,,,,
2gst,1993,,GLUTATHIONE S-TRANSFERASE (ISOENZYME 3-3),,,,,,
3gst,1993,,GLUTATHIONE S-TRANSFERASE (ISOENZYME 3-3),,,,,,
1f4x,2000,,"ANTIBODY FAB FRAGMENT, LIGHT CHAIN",,,,,,
2yk1,2011,,"ANTIBODY FAB FRAGMENT, HEAVY CHAIN",,,,,,
3qps,2011,,CMER,,,,,,
3qqa,2011,,CMER,,,,,,
3tmk,1999,,THYMIDYLATE KINASE,,,,,,
5jsq,2016,,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,,,,,,
5uff,2017,,RBC36,,,,,,
1c5c,2000,,CHIMERIC DECARBOXYLASE ANTIBODY 21D8,,,,,,
1xk9,2005,,EXOTOXIN A,,,,,,
2vt3,2008,,REDOX-SENSING TRANSCRIPTIONAL REPRESSOR REX,,,,,,
3gx0,2009,,GST-LIKE PROTEIN YFCG,,,,,,
1rbp,1991,,RETINOL-BINDING PROTEIN 4,,,,,,
6f05,2018,,GLUTATHIONE S-TRANSFERASE F9,,,,,,
1fl3,2000,,BLUE FLUORESCENT ANTIBODY 19G2,,,,,,
4unp,2015,,THYMIDYLATE KINASE,,,,,,
1mrs,2003,,THYMIDYLATE KINASE,,,,,,
1mrn,2003,,THYMIDYLATE KINASE,,,,,,
3q6z,2011,,POLY [ADP-RIBOSE] POLYMERASE 14,,,,,,
4x8o,2015,,ADENYLATE KINASE,,,,,,
5tmp,1998,,THYMIDYLATE KINASE,,,,,,
4tmk,1998,,THYMIDYLATE KINASE,,,,,,
1gar,1995,,GLYCINAMIDE RIBONUCLEOTIDE TRANSFORMYLASE,,,,,,
2ca8,2006,,GLUTATHIONE S-TRANSFERASE,,,,,,
2c80,2006,,GLUTATHIONE S-TRANSFERASE,,,,,,
1oe8,2003,,GLUTATHIONE S-TRANSFERASE,,,,,,
4oak,2014,,"D,D-DIPEPTIDASE/D,D-CARBOXYPEPTIDASE",,,,,,
1lbk,2002,,GLUTATHIONE S-TRANSFERASE P1-1,,,,,,
5j41,2016,,GLUTATHIONE S-TRANSFERASE P1-1,,,,,,
2gss,1997,,GLUTATHIONE S-TRANSFERASE P1-1,,,,,,
3gss,1997,,GLUTATHIONE S-TRANSFERASE P1-1,,,,,,
10gs,1998,,GLUTATHIONE S-TRANSFERASE P1-1,,,,,,
2uxi,2007,,HTH-TYPE TRANSCRIPTIONAL REGULATOR TTGR,,,,,,
3u10,2011,,POTASSIUM/SODIUM HYPERPOLARIZATION-ACTIVATED CYCLIC,,,,,,
4qrh,2015,,GUANYLATE KINASE,,,,,,
4trc,2014,,PURINE PHOSPHORIBOSYLTRANSFERASE (GPT-1),,,,,,
4ew2,2013,,TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE,,,,,,
4ew3,2013,,TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE,,,,,,
1njs,2003,,PHOSPHORIBOSYL GLYCINAMIDE FORMYLTRANSFERASE,,,,,,
2euk,2006,,GLYCOLIPID TRANSFER PROTEIN,,,,,,
2evl,2006,,GLYCOLIPID TRANSFER PROTEIN,,,,,,
4gah,2012,,THIOESTERASE SUPERFAMILY MEMBER 4,,,,,,
6d2o,2018,,CARBONIC ANHYDRASE,,,,,,
3jrs,2009,,PUTATIVE UNCHARACTERIZED PROTEIN AT5G46790,,,,,,
3v78,2012,,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,,,,,,
1nf8,2003,,PHENAZINE BIOSYNTHESIS PROTEIN PHZD,,,,,,
1ork,1999,,TETRACYCLINE REPRESSOR,,,,,,
4kn1,2013,,FOLATE RECEPTOR BETA,,,,,,
4kn0,2013,,FOLATE RECEPTOR BETA,,,,,,
4kmz,2013,,FOLATE RECEPTOR BETA,,,,,,
5ouh,2017,,ACETYLCHOLINE BINDING PROTEIN,,,,,,
4rfr,2016,,ALPHA-KETOGLUTARATE-DEPENDENT DIOXYGENASE ALKB,,,,,,
1ui0,2003,,URACIL-DNA GLYCOSYLASE,,,,,,
1yfz,2005,,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,,,,,,
2vfk,2008,,AKAP18 DELTA,,,,,,
5el9,2016,,"IMIDAZOLEGLYCEROL-PHOSPHATE DEHYDRATASE 2, CHLOROPLASTIC",,,,,,
5elw,2016,,"IMIDAZOLEGLYCEROL-PHOSPHATE DEHYDRATASE 2, CHLOROPLASTIC",,,,,,
1xk5,2005,,SNURPORTIN-1,,,,,,
2w08,2009,,SERUM AMYLOID P-COMPONENT,,,,,,
4avs,2013,,SERUM AMYLOID P-COMPONENT,,,,,,
3kqr,2010,,SERUM AMYLOID P-COMPONENT,,,,,,
4ayu,2013,,SERUM AMYLOID P-COMPONENT,,,,,,
2v54,2008,,THYMIDYLATE KINASE,,,,,,
5ltn,2017,,RNA-DIRECTED RNA POLYMERASE L,,,,,,
1atl,1995,,ATROLYSIN C,,,,,,
1kui,2002,,METALLOPROTEINASE,,,,,,
1kug,2002,,METALLOPROTEINASE,,,,,,
1kuk,2002,,METALLOPROTEINASE,,,,,,
3sw8,2011,,PEPTIDE DEFORMYLASE 3,,,,,,
3str,2011,,PEPTIDE DEFORMYLASE 3,,,,,,
1aid,1997,,HIV-1 PROTEASE,,,,,,
2fgv,2006,,HIV-1 PROTEASE,,,,,,
3aid,1997,,HIV-1 PROTEASE,,,,,,
2psv,2007,,HIV-1 PROTEASE,,,,,,
2qhz,2008,,HIV-1 PROTEASE,,,,,,
2qi1,2008,,HIV-1 PROTEASE,,,,,,
2qi0,2008,,HIV-1 PROTEASE,,,,,,
2qhy,2008,,HIV-1 PROTEASE,,,,,,
2psu,2007,,HIV-1 PROTEASE,,,,,,
1b6j,2000,,HIV-1 PROTEASE,,,,,,
1b6l,2000,,HIV-1 PROTEASE,,,,,,
1mtr,1996,,HIV-1 PROTEASE,,,,,,
1z1h,2005,,HIV-1 PROTEASE,,,,,,
2q55,2007,,HIV-1 PROTEASE,,,,,,
1b6k,2000,,HIV-1 PROTEASE,,,,,,
1d4l,2000,,HIV-1 PROTEASE,,,,,,
3mxd,2010,,HIV-1 PROTEASE,,,,,,
2q54,2007,,HIV-1 PROTEASE,,,,,,
2fgu,2006,,HIV-1 PROTEASE,,,,,,
1d4k,2000,,HIV-1 PROTEASE,,,,,,
3ekv,2009,,HIV-1 PROTEASE,,,,,,
3ekx,2009,,HIV-1 PROTEASE,,,,,,
3el1,2009,,HIV-1 PROTEASE,,,,,,
3mxe,2010,,HIV-1 PROTEASE,,,,,,
2qi3,2008,,HIV-1 PROTEASE,,,,,,
2qi7,2008,,HIV-1 PROTEASE,,,,,,
4djq,2012,,HIV-1 PROTEASE,,,,,,
1kzk,2002,,HIV-1 PROTEASE,,,,,,
2qi4,2008,,HIV-1 PROTEASE,,,,,,
4djp,2012,,HIV-1 PROTEASE,,,,,,
2qi6,2008,,HIV-1 PROTEASE,,,,,,
3o9a,2011,,HIV-1 PROTEASE,,,,,,
3o9d,2011,,HIV-1 PROTEASE,,,,,,
3gi4,2010,,HIV-1 PROTEASE,,,,,,
3o99,2011,,HIV-1 PROTEASE,,,,,,
2qi5,2008,,HIV-1 PROTEASE,,,,,,
3i7e,2009,,HIV-1 PROTEASE,,,,,,
3gi6,2010,,HIV-1 PROTEASE,,,,,,
3gi5,2010,,HIV-1 PROTEASE,,,,,,
3o9e,2011,,HIV-1 PROTEASE,,,,,,
2q5k,2007,,HIV-1 PROTEASE,,,,,,
2i0a,2006,,HIV-1 PROTEASE,,,,,,
4djo,2012,,HIV-1 PROTEASE,,,,,,
4djr,2012,,HIV-1 PROTEASE,,,,,,
3o9i,2011,,HIV-1 PROTEASE,,,,,,
3p8o,2011,,HCV SERINE PROTEASE NS3,,,,,,
3p8n,2011,,HCV SERINE PROTEASE NS3,,,,,,
1q91,2004,,5(3)-DEOXYRIBONUCLEOTIDASE,,,,,,
6g2l,2018,,5'(3')-DEOXYRIBONUCLEOTIDASE,,,,,,
6g2m,2018,,5'(3')-DEOXYRIBONUCLEOTIDASE,,,,,,
4rhx,2015,,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,,,,,,
5w44,2018,,POLYMERASE ACIDIC PROTEIN,,,,,,
5we9,2017,,POLYMERASE ACIDIC PROTEIN,,,,,,
1qji,2000,,ASTACIN,,,,,,
4fxp,2012,,ADENYLYL-SULFATE KINASE 1,,,,,,
4w97,2014,,HTH-TYPE TRANSCRIPTIONAL REPRESSOR KSTR2,,,,,,
5ewy,2016,,PUTATIVE ADP-RIBOSYLTRANSFERASE SCABIN,,,,,,
5ewk,2016,,PUTATIVE ADP-RIBOSYLTRANSFERASE SCABIN,,,,,,
3kyq,2010,,SYNAPTOBREVIN HOMOLOG YKT6,,,,,,
6ayi,2017,,HTH-TYPE TRANSCRIPTIONAL REGULATOR UIDR,,,,,,
3tf6,2011,,NEUTROPHIL GELATINASE-ASSOCIATED LIPOCALIN,,,,,,
5z7b,2018,,PADR FAMILY TRANSCRIPTIONAL REGULATOR,,,,,,
4ge1,2013,,BIOGENIC AMINE-BINDING PROTEIN,,,,,,
4je8,2014,,PEPTIDE DEFORMYLASE 1A,,,,,,
4je7,2014,,PEPTIDE DEFORMYLASE 1A,,,,,,
5edl,2016,,PUTATIVE HMP/THIAMINE PERMEASE PROTEIN YKOE,,,,,,
5ngz,2017,,UBIQUITIN-CONJUGATING ENZYME E2 T,,,,,,
2qbw,2008,,PDZ-FIBRONECTIN FUSION PROTEIN,,,,,,
2fxv,2006,,XANTHINE PHOSPHORIBOSYLTRANSFERASE,,,,,,
3vw1,2013,,PUTATIVE REGULATORY PROTEIN,,,,,,
3vw2,2013,,PUTATIVE REGULATORY PROTEIN,,,,,,
3vvy,2013,,PUTATIVE REGULATORY PROTEIN,,,,,,
4p3h,2014,,KSHV PROTEASE,,,,,,
4f1l,2012,,POLY [ADP-RIBOSE] POLYMERASE 14,,,,,,
3pn4,2011,,PEPTIDE DEFORMYLASE 1B,,,,,,
3m6r,2011,,PEPTIDE DEFORMYLASE 1B,,,,,,
4jwk,2013,,PEPTIDYL-TRNA HYDROLASE,,,,,,
4jx9,2013,,PEPTIDYL-TRNA HYDROLASE,,,,,,
2bfr,2004,,HYPOTHETICAL PROTEIN AF1521,,,,,,
2bfq,2005,,HYPOTHETICAL PROTEIN AF1521,,,,,,
4pop,2014,,THIAMINE TRANSPORTER THIT,,,,,,
3rlb,2011,,THIT,,,,,,
1a4r,1999,,G25K GTP-BINDING PROTEIN,,,,,,
3f78,2009,,INTEGRIN ALPHA-L,,,,,,
1rd4,2004,,INTEGRIN ALPHA-L,,,,,,
2qtn,2008,,NICOTINATE (NICOTINAMIDE) NUCLEOTIDE ADENYLYLTRANSFERASE,,,,,,
4aci,2012,,HTH-TYPE TRANSCRIPTIONAL REPRESSOR ACNR,,,,,,
2v57,2009,,TETR FAMILY TRANSCRIPTIONAL REPRESSOR LFRR,,,,,,
4n7u,2014,,BUTYROPHILIN SUBFAMILY 3 MEMBER A1,,,,,,
1lhu,2002,,SEX HORMONE-BINDING GLOBULIN,,,,,,
1kdk,2002,,SEX HORMONE-BINDING GLOBULIN,,,,,,
3w9r,2014,,ABSCISIC ACID RECEPTOR PYL9,,,,,,
4cs9,2014,,M2-1,,,,,,
4dsu,2012,,"GTPASE KRAS, ISOFORM 2B",,,,,,
4dst,2012,,"GTPASE KRAS, ISOFORM 2B",,,,,,
4epy,2012,,"GTPASE KRAS, ISOFORM 2B",,,,,,
6fa4,2018,,GTPASE KRAS,,,,,,
2wjg,2009,,FERROUS IRON TRANSPORT PROTEIN B HOMOLOG,,,,,,
4ai5,2012,,DNA-3-METHYLADENINE GLYCOSYLASE I,,,,,,
4aia,2012,,DNA-3-METHYLADENINE GLYCOSYLASE I,,,,,,
1qin,1999,,LACTOYLGLUTATHIONE LYASE,,,,,,
4i7k,2013,,LYSOZYME,,,,,,
4i7j,2013,,LYSOZYME,,,,,,
4i7p,2013,,LYSOZYME,,,,,,
4i7l,2013,,LYSOZYME,,,,,,
4i7m,2013,,LYSOZYME,,,,,,
5aan,2017,,"CG5907-PA, ISOFORM A",,,,,,
5fyx,2017,,FREQUENIN 2,,,,,,
6epa,2018,,FI18190P1,,,,,,
1u71,2005,,DIHYDROFOLATE REDUCTASE,,,,,,
4g95,2014,,DIHYDROFOLATE REDUCTASE,,,,,,
3oaf,2011,,DIHYDROFOLATE REDUCTASE,,,,,,
3dsz,2009,,HUMAN LIPOCALIN 2,,,,,,
4lhv,2013,,RAS-RELATED PROTEIN RAB-8A,,,,,,
3spf,2012,,BCL-2-LIKE PROTEIN 1,,,,,,
3zk6,2013,,BCL-2-LIKE PROTEIN 1,,,,,,
3qkd,2011,,BCL-2-LIKE PROTEIN 1,,,,,,
3zln,2013,,BCL-2-LIKE PROTEIN 1,,,,,,
2yxj,2007,,BCL-2-LIKE PROTEIN 1,,,,,,
3juo,2009,,PHENAZINE BIOSYNTHESIS PROTEIN A/B,,,,,,
3b4p,2008,,PHENAZINE BIOSYNTHESIS PROTEIN A/B,,,,,,
3jup,2009,,PHENAZINE BIOSYNTHESIS PROTEIN A/B,,,,,,
1lke,2003,,"BILIN-BINDING PROTEIN, DIGA16",,,,,,
1lnm,2003,,"BILIN-BINDING PROTEIN, DIGA16",,,,,,
1n0s,2003,,BILIN-BINDING PROTEIN,,,,,,
4kyk,2013,,LACTOYLGLUTATHIONE LYASE,,,,,,
4kyh,2013,,LACTOYLGLUTATHIONE LYASE,,,,,,
4pv5,2015,,LACTOYLGLUTATHIONE LYASE,,,,,,
2za0,2008,,GLYOXALASE I,,,,,,
5h1u,2017,,TRANSCRIPTION INTERMEDIARY FACTOR 1-ALPHA,,,,,,
5h1t,2017,,TRANSCRIPTION INTERMEDIARY FACTOR 1-ALPHA,,,,,,
5h1v,2017,,TRANSCRIPTION INTERMEDIARY FACTOR 1-ALPHA,,,,,,
5c2o,2016,,PUTATIVE DEOXYCYTIDYLATE DEAMINASE,,,,,,
1erb,1994,,RETINOL BINDING PROTEIN,,,,,,
1q54,2003,,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE,,,,,,
2vnp,2008,,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE,,,,,,
2fw6,2006,,N5-CARBOXYAMINOIMIDAZOLE RIBONUCLEOTIDE MUTASE,,,,,,
3ao4,2011,,HIV-1 INTEGRASE,,,,,,
4ahr,2012,,HIV-1 INTEGRASE,,,,,,
4ahs,2012,,HIV-1 INTEGRASE,,,,,,
3ao5,2011,,HIV-1 INTEGRASE,,,,,,
4ahu,2012,,HIV-1 INTEGRASE,,,,,,
3ovn,2011,,HIV-1 INTEGRASE,,,,,,
3zt2,2012,,HIV-1 INTEGRASE,,,,,,
3zt3,2012,,HIV-1 INTEGRASE,,,,,,
4ceb,2013,,HIV-1 INTEGRASE,,,,,,
4cjr,2014,,HIV-1 INTEGRASE,,,,,,
4cgi,2013,,HIV-1 INTEGRASE,,,,,,
3zsy,2012,,HIV-1 INTEGRASE,,,,,,
3zsx,2012,,HIV-1 INTEGRASE,,,,,,
4cjp,2014,,HIV-1 INTEGRASE,,,,,,
4cj4,2014,,HIV-1 INTEGRASE,,,,,,
4ck3,2014,,HIV-1 INTEGRASE,,,,,,
4cjq,2014,,HIV-1 INTEGRASE,,,,,,
4cig,2014,,HIV-1 INTEGRASE,,,,,,
3ao2,2011,,HIV-1 INTEGRASE,,,,,,
3zsq,2012,,HIV-1 INTEGRASE,,,,,,
3zso,2012,,HIV-1 INTEGRASE,,,,,,
4nyf,2014,,HIV-1 INTEGRASE,,,,,,
3g5k,2009,,PEPTIDE DEFORMYLASE,,,,,,
5cs3,2015,,HEPATOCYTE GROWTH FACTOR,,,,,,
5ct2,2015,,HEPATOCYTE GROWTH FACTOR,,,,,,
5cp9,2015,,HEPATOCYTE GROWTH FACTOR,,,,,,
5n99,2017,,STREPTAVIDIN,,,,,,
1str,1996,,STREPTAVIDIN,,,,,,
4y59,2015,,STREPTAVIDIN,,,,,,
5b5g,2017,,STREPTAVIDIN,,,,,,
5b5f,2017,,STREPTAVIDIN,,,,,,
1srg,1994,,STREPTAVIDIN,,,,,,
4y5d,2015,,STREPTAVIDIN,,,,,,
2izl,1998,,STREPTAVIDIN,,,,,,
1sld,1996,,STREPTAVIDIN,,,,,,
1swr,1999,,STREPTAVIDIN,,,,,,
1df8,2000,,STREPTAVIDIN,,,,,,
6cwn,2018,,SURFACE (S-) LAYER GLYCOPROTEIN,,,,,,
6cwh,2018,,SURFACE (S-) LAYER GLYCOPROTEIN,,,,,,
1fzq,2000,,ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 3,,,,,,
3ery,2008,,H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,
3t70,2012,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
2y8c,2012,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
3t60,2012,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
3t64,2012,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
4sga,1991,,PROTEINASE A (SGPA),,,,,,
4b6r,2012,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
4b6s,2012,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
2xda,2010,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
2xd9,2010,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
3pgl,2011,,CARBOXY-TERMINAL DOMAIN RNA POLYMERASE II POLYPEPTI,,,,,,
4zcs,2016,,CHOLINE-PHOSPHATE CYTIDYLYLTRANSFERASE,,,,,,
3k8c,2010,,RIBOSE-5-PHOSPHATE ISOMERASE,,,,,,
4km2,2013,,DIHYDROFOLATE REDUCTASE,,,,,,
4km0,2013,,DIHYDROFOLATE REDUCTASE,,,,,,
4y0a,2015,,SHIKIMATE KINASE,,,,,,
1qy2,2004,,MAJOR URINARY PROTEIN,,,,,,
2nnd,2007,,MAJOR URINARY PROTEIN,,,,,,
1qy1,2004,,MAJOR URINARY PROTEIN,,,,,,
2aac,1997,,ARAC,,,,,,
5ldm,2017,,"RNA 2',3'-CYCLIC PHOSPHODIESTERASE",,,,,,
5ldp,2017,,"RNA 2',3'-CYCLIC PHOSPHODIESTERASE",,,,,,
4bqs,2013,,SHIKIMATE KINASE,,,,,,
4k0o,2013,,F17B-G FIMBRIAL ADHESIN,,,,,,
3t1m,2011,,GALECTIN-3,,,,,,
6eog,2018,,GALECTIN-3,,,,,,
1kjr,2005,,GALECTIN-3,,,,,,
6eol,2018,,GALECTIN-3,,,,,,
5.00E+89,2016,,GALECTIN-3,,,,,,
1qft,2000,,HISTAMINE BINDING PROTEIN 2,,,,,,
6f20,2018,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
5fsn,2016,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
5fso,2017,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
5ant,2016,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
4c9x,2014,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
5anv,2016,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
5anu,2016,,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",,,,,,
5edd,2016,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
5ect,2016,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
2py4,2007,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
1mmr,1996,,MATRILYSIN,,,,,,
1mmq,1996,,MATRILYSIN,,,,,,
3f37,2009,,FERRITIN LIGHT CHAIN,,,,,,
3f34,2009,,FERRITIN LIGHT CHAIN,,,,,,
3f33,2009,,FERRITIN LIGHT CHAIN,,,,,,
3u90,2012,,FERRITIN LIGHT CHAIN,,,,,,
5efa,2015,,POLYMERASE BASIC PROTEIN 2,,,,,,
5efc,2015,,POLYMERASE BASIC PROTEIN 2,,,,,,
1alw,1998,,CALPAIN,,,,,,
2usn,1998,,STROMELYSIN-1,,,,,,
1sln,1996,,STROMELYSIN-1,,,,,,
1ciz,1999,,STROMELYSIN-1,,,,,,
2d1o,2006,,STROMELYSIN-1,,,,,,
1usn,1998,,STROMELYSIN-1,,,,,,
1b8y,1999,,STROMELYSIN-1,,,,,,
1hfs,1998,,STROMELYSIN-1,,,,,,
4l19,2014,,COLLAGENASE 3 (MMP-13),,,,,,
